userId,books
1,"['Selections from Harry Potter and the Order of the Phoenix: Piano Solos', ""Jeweler's Apprentice"", 'Waterwight', 'Heritage of the Xandim', 'Captain Sinbad']"
1,"['The 39 Clues Complete Collection', 'This Book Is Not Good for You', ""If You're Reading This"", "" It's Too Late"", ""The Pretender's Gambit"", 'The Mysterious Benedict Society Collection']"
1,"[""Shannon's Land"", 'Rain of Terror', 'Repercussions', 'Double Impact: Never Say Die / No Way Back', 'Bring It (Sabel Security #2)']"
2,"['Miss Perfect', 'Bluesday', ""Gabriel's Gate"", 'Diabulus in musica', 'A Selfless Man']"
2,"['Shadowed Love', 'Illusory Love IV', 'Grosvenor Square', 'Illusory Love II', 'Illusory Love III']"
3,"['Selections from Harry Potter and the Order of the Phoenix: Piano Solos', ""Jeweler's Apprentice"", 'Waterwight', 'Heritage of the Xandim', 'Captain Sinbad']"
4,"['The Excalibur Codex', 'The Isis Covenant', 'Hostage', 'Golden Buddha / Sacred Stone (The Oregon Files', ' #1-2)', 'Kingdom of Darkness']"
5,"['Sin tetas no hay Paraíso', 'Virtue and Vice', 'Homecoming', 'Prizes', 'বৃষ্টি বিলাস']"
